Rk,Team,Date,SCA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
1366,Como,2024-09-24,21,@,Atalanta,it Serie A,W 3-2,3,2,+1,41,2,0,0,0,21,18,0,0,2,0,1,Match Report
1367,Holstein Kiel,2024-12-14,21,@,Gladbach,de Bundesliga,L 1-4,1,4,-3,44,1,0,0,0,21,18,1,0,1,1,0,Match Report
1368,Athletic Club,2025-04-06,21,@,Villarreal,es La Liga,D 0-0,0,0,0,44,0,0,0,0,21,18,0,1,1,1,0,Match Report
1369,Athletic Club,2025-02-02,21,@,Betis,es La Liga,D 2-2,2,2,0,47,2,0,0,0,21,17,2,1,1,0,0,Match Report
1370,Athletic Club,2024-11-24,21,,Real Sociedad,es La Liga,W 1-0,1,0,+1,41,1,0,0,0,21,16,0,3,1,0,1,Match Report
1371,Gladbach,2025-02-01,21,@,Stuttgart,de Bundesliga,W 2-1,2,1,+1,46,2,0,0,0,21,19,1,1,0,0,0,Match Report
1372,Gladbach,2024-10-04,21,@,Augsburg,de Bundesliga,L 1-2,1,2,-1,65,1,0,0,0,21,16,4,0,0,1,0,Match Report
1373,Gladbach,2024-09-14,21,,Stuttgart,de Bundesliga,L 1-3,1,3,-2,44,1,0,0,0,21,14,3,1,2,1,0,Match Report
1374,Southampton,2025-01-25,21,,Newcastle Utd,eng Premier League,L 1-3,1,3,-2,53,1,0,0,0,21,16,1,2,2,0,0,Match Report
1375,Tottenham,2024-08-24,21,,Everton,eng Premier League,W 4-0,4,0,+4,70,4,0,0,0,21,14,3,2,1,1,0,Match Report
1376,Toulouse,2024-08-18,21,,Nantes,fr Ligue 1,D 0-0,0,0,0,54,0,0,0,0,21,10,5,2,2,2,0,Match Report
1377,Crystal Palace,2025-01-18,21,@,West Ham,eng Premier League,W 2-0,2,0,+2,47,1,1,1,0,21,15,2,0,0,3,1,Match Report
1378,Crystal Palace,2024-11-23,21,@,Aston Villa,eng Premier League,D 2-2,2,2,0,31,2,0,0,0,21,17,1,1,1,1,0,Match Report
1379,Wolfsburg,2025-01-11,21,@,Hoffenheim,de Bundesliga,W 1-0,1,0,+1,45,1,0,0,0,21,10,7,1,1,2,0,Match Report
1380,Wolfsburg,2024-11-30,21,@,RB Leipzig,de Bundesliga,W 5-1,5,1,+4,37,5,0,0,0,21,11,1,2,4,1,2,Match Report
1381,Wolfsburg,2024-11-10,21,@,Heidenheim,de Bundesliga,W 3-1,3,1,+2,35,3,0,0,0,21,10,5,1,5,0,0,Match Report
1382,Wolfsburg,2024-10-20,21,,Werder Bremen,de Bundesliga,L 2-4,2,4,-2,43,2,0,0,0,21,15,1,2,1,2,0,Match Report
1383,Stuttgart,2024-09-14,21,@,Gladbach,de Bundesliga,W 3-1,3,1,+2,56,3,0,0,0,21,13,1,4,3,0,0,Match Report
1384,Auxerre,2025-03-09,21,@,Reims,fr Ligue 1,W 2-0,2,0,+2,43,2,0,0,0,21,11,7,0,2,1,0,Match Report
1385,Auxerre,2025-01-10,21,,Lille,fr Ligue 1,D 0-0,0,0,0,30,0,0,0,0,21,12,3,1,2,0,3,Match Report
1386,Le Havre,2025-03-09,21,,Saint-Étienne,fr Ligue 1,D 1-1,1,1,0,46,1,0,1,1,21,11,2,1,3,3,1,Match Report
1387,Le Havre,2025-01-26,21,,Brest,fr Ligue 1,L 0-1,0,1,-1,45,0,0,0,0,21,14,4,0,2,1,0,Match Report
1388,Werder Bremen,2024-10-05,21,,Freiburg,de Bundesliga,L 0-1,0,1,-1,58,0,0,0,0,21,15,2,0,3,1,0,Match Report
1389,Genoa,2024-09-01,21,,Hellas Verona,it Serie A,L 0-2,0,2,-2,58,0,0,0,0,21,16,1,1,1,2,0,Match Report
1390,Getafe,2024-08-24,21,,Rayo Vallecano,es La Liga,D 0-0,0,0,0,48,0,0,0,0,21,12,3,5,0,1,0,Match Report
1391,Union Berlin,2024-10-27,21,,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,48,1,0,0,0,21,14,2,3,2,0,0,Match Report
1392,Union Berlin,2024-10-05,21,,Dortmund,de Bundesliga,W 2-1,2,1,+1,33,1,1,1,0,21,13,3,0,1,3,1,Match Report
1393,Union Berlin,2024-09-21,21,,Hoffenheim,de Bundesliga,W 2-1,2,1,+1,51,2,0,0,0,21,13,2,1,2,3,0,Match Report
1394,West Ham,2024-11-30,21,,Arsenal,eng Premier League,L 2-5,2,5,-3,40,2,0,0,0,21,13,0,2,3,3,0,Match Report
1395,West Ham,2024-09-14,21,@,Fulham,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,21,14,4,1,0,2,0,Match Report
1396,Leganés,2025-04-07,21,,Osasuna,es La Liga,D 1-1,1,1,0,56,0,1,1,0,21,14,1,0,3,3,0,Match Report
1397,Reims,2024-11-23,21,,Lyon,fr Ligue 1,D 1-1,1,1,0,41,1,0,0,0,21,17,1,0,3,0,0,Match Report
1398,Liverpool,2024-09-01,21,@,Manchester Utd,eng Premier League,W 3-0,3,0,+3,47,3,0,0,0,21,16,0,2,1,0,2,Match Report
1399,Aston Villa,2025-02-22,21,,Chelsea,eng Premier League,W 2-1,2,1,+1,52,2,0,0,0,21,18,0,2,0,1,0,Match Report
1400,Aston Villa,2024-11-09,21,@,Liverpool,eng Premier League,L 0-2,0,2,-2,38,0,0,0,0,21,12,4,2,3,0,0,Match Report
1401,Wolves,2025-03-08,21,,Everton,eng Premier League,D 1-1,1,1,0,66,1,0,0,0,21,15,2,2,1,1,0,Match Report
1402,Wolves,2024-11-02,21,,Crystal Palace,eng Premier League,D 2-2,2,2,0,57,2,0,0,0,21,17,0,3,1,0,0,Match Report
1403,Alavés,2024-11-01,21,,Mallorca,es La Liga,W 1-0,1,0,+1,51,1,0,0,0,21,10,6,1,4,0,0,Match Report
1404,Alavés,2024-08-28,21,@,Real Sociedad,es La Liga,W 2-1,2,1,+1,47,1,1,1,0,21,12,4,0,3,1,1,Match Report
1405,Girona,2024-09-25,21,,Rayo Vallecano,es La Liga,D 0-0,0,0,0,71,0,0,0,0,21,13,3,1,1,2,1,Match Report
1406,Girona,2024-08-25,21,@,Atlético Madrid,es La Liga,L 0-3,0,3,-3,57,0,0,0,0,21,18,1,0,1,1,0,Match Report
1407,Atalanta,2024-11-03,21,@,Napoli,it Serie A,W 3-0,3,0,+3,50,3,0,0,0,21,15,2,1,3,0,0,Match Report
1408,Mainz 05,2025-03-30,21,@,Dortmund,de Bundesliga,L 1-3,1,3,-2,56,1,0,0,0,21,18,0,1,2,0,0,Match Report
1409,Mainz 05,2025-03-07,21,@,Gladbach,de Bundesliga,W 3-1,3,1,+2,43,3,0,0,0,21,16,2,1,1,1,0,Match Report
1410,Leicester City,2024-09-21,21,,Everton,eng Premier League,D 1-1,1,1,0,58,1,0,0,0,21,17,3,0,0,1,0,Match Report
1411,Empoli,2024-11-08,21,@,Lecce,it Serie A,D 1-1,1,1,0,42,1,0,0,0,21,13,2,3,1,1,1,Match Report
1412,Empoli,2024-10-20,21,,Napoli,it Serie A,L 0-1,0,1,-1,50,0,0,0,0,21,15,2,0,1,2,1,Match Report
1413,Freiburg,2025-04-05,21,,Dortmund,de Bundesliga,L 1-4,1,4,-3,54,1,0,0,0,21,19,1,0,0,1,0,Match Report
1414,Freiburg,2025-02-01,21,@,Bochum,de Bundesliga,W 1-0,1,0,+1,42,1,0,0,0,21,10,4,2,3,1,1,Match Report
1415,Freiburg,2024-12-08,21,@,Hoffenheim,de Bundesliga,D 1-1,1,1,0,50,1,0,0,0,21,13,3,2,0,1,2,Match Report
1416,Espanyol,2025-02-16,21,,Athletic Club,es La Liga,D 1-1,1,1,0,39,1,0,0,0,21,17,1,0,0,1,2,Match Report
1417,Espanyol,2024-08-24,21,,Real Sociedad,es La Liga,L 0-1,0,1,-1,34,0,0,0,0,21,14,1,3,2,0,1,Match Report
1418,RB Leipzig,2025-01-18,21,@,Bochum,de Bundesliga,D 3-3,3,3,0,55,3,0,0,0,21,21,0,0,0,0,0,Match Report
1419,Sevilla,2025-03-16,21,,Athletic Club,es La Liga,L 0-1,0,1,-1,61,0,0,0,0,21,19,1,0,1,0,0,Match Report
1420,Sevilla,2025-02-16,21,@,Valladolid,es La Liga,W 4-0,4,0,+4,48,4,0,0,0,21,18,1,0,0,1,1,Match Report
1421,Sevilla,2024-11-09,21,@,Leganés,es La Liga,L 0-1,0,1,-1,57,0,0,0,0,21,18,2,1,0,0,0,Match Report
1422,Sevilla,2024-10-06,21,,Betis,es La Liga,W 1-0,1,0,+1,51,0,1,1,0,21,13,3,2,1,2,0,Match Report
1423,Venezia,2024-11-09,21,,Parma,it Serie A,L 1-2,1,2,-1,67,1,0,0,0,21,15,2,0,1,2,1,Match Report
1424,Venezia,2024-10-20,21,,Atalanta,it Serie A,L 0-2,0,2,-2,43,0,0,0,0,21,14,2,2,2,1,0,Match Report
1425,Newcastle Utd,2024-09-28,21,,Manchester City,eng Premier League,D 1-1,1,1,0,38,0,1,1,0,21,16,2,0,2,1,0,Match Report
1426,Rennes,2024-09-21,21,,Lens,fr Ligue 1,D 1-1,1,1,0,40,0,1,1,0,21,13,4,1,0,3,0,Match Report
1427,Bochum,2025-04-05,21,,Stuttgart,de Bundesliga,L 0-4,0,4,-4,54,0,0,0,0,21,16,2,0,1,2,0,Match Report
1428,Bochum,2025-03-01,21,,Hoffenheim,de Bundesliga,L 0-1,0,1,-1,58,0,0,0,0,21,15,4,0,1,1,0,Match Report
1429,Bochum,2024-12-07,21,,Werder Bremen,de Bundesliga,L 0-1,0,1,-1,52,0,0,0,0,21,14,5,2,0,0,0,Match Report
1430,Strasbourg,2025-04-06,21,@,Reims,fr Ligue 1,W 1-0,1,0,+1,52,1,0,0,0,21,17,2,1,1,0,0,Match Report
1431,Cagliari,2024-12-14,21,,Atalanta,it Serie A,L 0-1,0,1,-1,44,0,0,0,0,21,16,2,0,1,1,1,Match Report
1432,Cagliari,2024-09-30,21,@,Parma,it Serie A,W 3-2,3,2,+1,40,3,0,0,0,21,17,1,2,1,0,0,Match Report
1433,Lille,2025-03-30,21,,Lens,fr Ligue 1,W 1-0,1,0,+1,45,1,0,0,0,21,16,1,0,1,1,2,Match Report
1434,Lille,2025-01-04,21,,Nantes,fr Ligue 1,D 1-1,1,1,0,71,1,0,0,0,21,17,1,0,2,1,0,Match Report
1435,Lille,2024-08-24,21,,Angers,fr Ligue 1,W 2-0,2,0,+2,64,2,0,0,0,21,19,0,1,0,1,0,Match Report
1436,Brentford,2025-02-26,21,,Everton,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,21,16,3,0,2,0,0,Match Report
1437,Roma,2024-10-27,21,@,Fiorentina,it Serie A,L 1-5,1,5,-4,61,1,0,0,0,21,11,2,2,2,2,2,Match Report
1438,Chelsea,2024-11-03,21,@,Manchester Utd,eng Premier League,D 1-1,1,1,0,54,1,0,0,0,21,11,4,3,2,0,1,Match Report
1439,Brighton,2025-04-02,21,,Aston Villa,eng Premier League,L 0-3,0,3,-3,56,0,0,0,0,21,17,1,1,1,1,0,Match Report
1440,Brighton,2025-02-25,21,,Bournemouth,eng Premier League,W 2-1,2,1,+1,44,1,1,1,0,21,13,2,2,1,3,0,Match Report
1441,Brighton,2025-01-16,21,@,Ipswich Town,eng Premier League,W 2-0,2,0,+2,53,2,0,0,0,21,15,2,1,1,1,1,Match Report
1442,Brighton,2024-12-21,21,@,West Ham,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,21,19,0,0,2,0,0,Match Report
1443,Brighton,2024-10-06,21,,Tottenham,eng Premier League,W 3-2,3,2,+1,41,3,0,0,0,21,16,2,3,0,0,0,Match Report
1444,Saint-Étienne,2025-03-09,21,@,Le Havre,fr Ligue 1,D 1-1,1,1,0,54,1,0,0,0,21,17,0,2,2,0,0,Match Report
1445,Saint-Étienne,2025-03-01,21,,Nice,fr Ligue 1,L 1-3,1,3,-2,62,1,0,0,0,21,17,2,0,1,0,1,Match Report
1446,Everton,2025-02-26,21,@,Brentford,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,21,16,1,2,2,0,0,Match Report
1447,Everton,2024-12-04,21,,Wolves,eng Premier League,W 4-0,4,0,+4,44,2,0,0,0,21,15,2,1,2,1,0,Match Report
1448,Everton,2024-10-19,21,@,Ipswich Town,eng Premier League,W 2-0,2,0,+2,45,2,0,0,0,21,15,3,2,0,1,0,Match Report
1449,Napoli,2025-02-23,21,@,Como,it Serie A,L 1-2,1,2,-1,58,1,0,0,0,21,14,2,0,3,1,1,Match Report
1450,Napoli,2024-12-21,21,@,Genoa,it Serie A,W 2-1,2,1,+1,62,2,0,0,0,21,17,1,1,0,1,1,Match Report
1451,Napoli,2024-08-18,21,@,Hellas Verona,it Serie A,L 0-3,0,3,-3,67,0,0,0,0,21,16,3,0,2,0,0,Match Report
1452,Milan,2024-09-14,21,,Venezia,it Serie A,W 4-0,4,0,+4,62,2,2,2,0,21,14,1,1,1,3,1,Match Report
1453,Paris S-G,2024-09-21,21,@,Reims,fr Ligue 1,D 1-1,1,1,0,78,1,0,0,0,21,18,1,2,0,0,0,Match Report
1454,Real Sociedad,2025-03-29,21,,Valladolid,es La Liga,W 2-1,2,1,+1,55,2,0,0,0,21,18,1,1,0,1,0,Match Report
1455,Real Sociedad,2025-01-26,21,,Getafe,es La Liga,L 0-3,0,3,-3,56,0,0,0,0,21,15,2,2,1,1,0,Match Report
1456,Real Sociedad,2024-12-08,21,@,Leganés,es La Liga,W 3-0,3,0,+3,44,3,0,0,0,21,17,1,0,2,1,0,Match Report
1457,Parma,2025-03-15,21,@,Monza,it Serie A,D 1-1,1,1,0,55,1,0,0,0,21,17,1,2,0,1,0,Match Report
1458,Parma,2024-12-01,21,,Lazio,it Serie A,W 3-1,3,1,+2,28,3,0,0,0,21,17,1,2,0,0,1,Match Report
1459,Parma,2024-10-06,21,@,Bologna,it Serie A,D 0-0,0,0,0,29,0,0,0,0,21,15,5,0,0,1,0,Match Report
1460,Celta Vigo,2024-09-01,21,@,Osasuna,es La Liga,L 2-3,2,3,-1,50,1,0,0,0,21,16,0,2,0,3,0,Match Report
1461,Brest,2025-02-23,21,@,Strasbourg,fr Ligue 1,D 0-0,0,0,0,43,0,0,0,0,21,15,3,1,1,1,0,Match Report
1462,Betis,2024-09-01,21,@,Real Madrid,es La Liga,L 0-2,0,2,-2,40,0,0,0,0,21,19,1,0,1,0,0,Match Report
1463,Lens,2024-10-06,21,@,Strasbourg,fr Ligue 1,D 2-2,2,2,0,63,2,0,0,0,21,18,1,2,0,0,0,Match Report
1464,Monaco,2024-10-27,21,@,Nice,fr Ligue 1,L 1-2,1,2,-1,59,1,0,0,0,21,14,3,0,1,2,1,Match Report
1465,Monaco,2024-09-22,21,,Le Havre,fr Ligue 1,W 3-1,3,1,+2,61,3,0,0,0,21,14,3,0,2,0,2,Match Report
1466,Fulham,2024-10-05,21,@,Manchester City,eng Premier League,L 2-3,2,3,-1,42,2,0,0,0,21,17,1,0,2,0,1,Match Report
1467,Lecce,2025-03-08,21,,Milan,it Serie A,L 2-3,2,3,-1,30,2,0,0,0,21,15,3,2,0,1,0,Match Report
1468,Lecce,2025-01-11,21,@,Empoli,it Serie A,W 3-1,3,1,+2,50,3,0,0,0,21,18,2,0,1,0,0,Match Report
1469,Las Palmas,2024-12-22,20,,Espanyol,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,20,15,1,3,0,1,0,Match Report
1470,Udinese,2025-03-30,20,@,Inter,it Serie A,L 1-2,1,2,-1,40,1,0,0,0,20,15,1,3,0,1,0,Match Report
1471,Udinese,2025-01-11,20,,Atalanta,it Serie A,D 0-0,0,0,0,46,0,0,0,0,20,14,1,0,3,2,0,Match Report
1472,Udinese,2024-10-05,20,,Lecce,it Serie A,W 1-0,1,0,+1,55,1,0,0,0,20,11,2,1,3,2,1,Match Report
1473,Udinese,2024-09-01,20,,Como,it Serie A,W 1-0,1,0,+1,44,1,0,0,0,20,16,1,1,0,0,2,Match Report
1474,Augsburg,2025-03-29,20,@,Hoffenheim,de Bundesliga,D 1-1,1,1,0,44,1,0,0,0,20,18,0,1,0,1,0,Match Report
1475,Augsburg,2025-02-14,20,,RB Leipzig,de Bundesliga,D 0-0,0,0,0,39,0,0,0,0,20,13,3,2,2,0,0,Match Report
1476,Augsburg,2024-08-24,20,,Werder Bremen,de Bundesliga,D 2-2,2,2,0,46,2,0,0,0,20,13,3,0,3,1,0,Match Report
1477,Hellas Verona,2024-11-29,20,@,Cagliari,it Serie A,L 0-1,0,1,-1,37,0,0,0,0,20,17,1,2,0,0,0,Match Report
1478,Torino,2024-08-30,20,@,Venezia,it Serie A,W 1-0,1,0,+1,58,1,0,0,0,20,18,1,0,1,0,0,Match Report
1479,Nice,2025-01-17,20,@,Lille,fr Ligue 1,L 1-2,1,2,-1,45,1,0,0,0,20,13,2,2,2,0,1,Match Report
1480,Valladolid,2025-03-08,20,@,Valencia,es La Liga,L 1-2,1,2,-1,38,1,0,0,0,20,18,1,0,0,0,1,Match Report
1481,Valladolid,2025-01-17,20,@,Espanyol,es La Liga,L 1-2,1,2,-1,64,1,0,0,0,20,16,2,0,1,1,0,Match Report
1482,Valladolid,2024-08-28,20,,Leganés,es La Liga,D 0-0,0,0,0,58,0,0,0,0,20,15,1,1,2,1,0,Match Report
1483,Arsenal,2024-12-04,20,,Manchester Utd,eng Premier League,W 2-0,2,0,+2,51,2,0,0,0,20,11,4,2,3,0,0,Match Report
1484,Arsenal,2024-08-31,20,,Brighton,eng Premier League,D 1-1,1,1,0,36,1,0,0,0,20,15,0,3,2,0,0,Match Report
1485,Heidenheim,2025-02-16,20,,Mainz 05,de Bundesliga,L 0-2,0,2,-2,56,0,0,0,0,20,14,3,0,2,1,0,Match Report
1486,Heidenheim,2024-12-22,20,@,Bochum,de Bundesliga,L 0-2,0,2,-2,48,0,0,0,0,20,17,2,0,0,1,0,Match Report
1487,Manchester Utd,2025-03-09,20,,Arsenal,eng Premier League,D 1-1,1,1,0,32,1,0,0,0,20,16,0,1,0,1,2,Match Report
1488,Manchester Utd,2025-01-05,20,@,Liverpool,eng Premier League,D 2-2,2,2,0,47,2,0,0,0,20,13,3,0,4,0,0,Match Report
1489,Manchester Utd,2024-12-26,20,@,Wolves,eng Premier League,L 0-2,0,2,-2,49,0,0,0,0,20,17,2,1,0,0,0,Match Report
1490,Manchester Utd,2024-09-29,20,,Tottenham,eng Premier League,L 0-3,0,3,-3,39,0,0,0,0,20,18,2,0,0,0,0,Match Report
1491,Bologna,2024-10-19,20,@,Genoa,it Serie A,D 2-2,2,2,0,61,2,0,0,0,20,16,2,0,2,0,0,Match Report
1492,Barcelona,2025-02-09,20,@,Sevilla,es La Liga,W 4-1,4,1,+3,60,4,0,0,0,20,18,0,1,0,1,0,Match Report
1493,Barcelona,2024-11-10,20,@,Real Sociedad,es La Liga,L 0-1,0,1,-1,69,0,0,0,0,20,10,4,1,4,0,1,Match Report
1494,Villarreal,2024-12-08,20,@,Athletic Club,es La Liga,L 0-2,0,2,-2,58,0,0,0,0,20,17,2,1,0,0,0,Match Report
1495,Villarreal,2024-11-09,20,,Alavés,es La Liga,W 3-0,3,0,+3,63,2,1,1,0,20,10,5,2,1,2,0,Match Report
1496,Holstein Kiel,2024-11-09,20,@,Werder Bremen,de Bundesliga,L 1-2,1,2,-1,40,1,0,0,0,20,11,3,1,3,1,1,Match Report
1497,Holstein Kiel,2024-10-20,20,,Union Berlin,de Bundesliga,L 0-2,0,2,-2,48,0,0,0,0,20,13,6,0,0,1,0,Match Report
1498,Holstein Kiel,2024-09-29,20,,Eint Frankfurt,de Bundesliga,L 2-4,2,4,-2,47,1,1,1,0,20,15,2,0,0,3,0,Match Report
1499,Athletic Club,2025-03-30,20,,Osasuna,es La Liga,D 0-0,0,0,0,61,0,0,0,0,20,16,1,1,1,0,1,Match Report
1500,Athletic Club,2024-12-08,20,,Villarreal,es La Liga,W 2-0,2,0,+2,42,2,0,0,0,20,15,2,1,0,1,1,Match Report
1501,Athletic Club,2024-10-06,20,@,Girona,es La Liga,L 1-2,1,2,-1,34,1,0,2,2,20,14,1,2,0,3,0,Match Report
1502,Athletic Club,2024-09-19,20,@,Leganés,es La Liga,W 2-0,2,0,+2,52,2,0,0,0,20,16,3,0,0,1,0,Match Report
1503,Gladbach,2024-11-09,20,@,RB Leipzig,de Bundesliga,D 0-0,0,0,0,39,0,0,0,0,20,14,2,0,3,0,1,Match Report
1504,Southampton,2025-04-06,20,@,Tottenham,eng Premier League,L 1-3,1,3,-2,49,1,0,0,0,20,15,0,2,3,0,0,Match Report
1505,Tottenham,2025-03-16,20,@,Fulham,eng Premier League,L 0-2,0,2,-2,43,0,0,0,0,20,15,2,0,2,1,0,Match Report
1506,Tottenham,2025-02-26,20,,Manchester City,eng Premier League,L 0-1,0,1,-1,55,0,0,0,0,20,9,6,1,2,2,0,Match Report
1507,Tottenham,2024-10-27,20,@,Crystal Palace,eng Premier League,L 0-1,0,1,-1,66,0,0,0,0,20,15,3,0,2,0,0,Match Report
1508,Tottenham,2024-10-06,20,@,Brighton,eng Premier League,L 2-3,2,3,-1,59,2,0,0,0,20,18,0,0,1,1,0,Match Report
1509,Toulouse,2025-02-23,20,@,Le Havre,fr Ligue 1,W 4-1,4,1,+3,46,3,1,1,0,20,18,0,1,0,1,0,Match Report
1510,Toulouse,2024-12-13,20,,Saint-Étienne,fr Ligue 1,W 2-1,2,1,+1,39,2,0,0,0,20,16,2,0,0,1,1,Match Report
1511,Toulouse,2024-11-03,20,,Reims,fr Ligue 1,W 1-0,1,0,+1,51,1,0,0,0,20,12,4,0,2,1,1,Match Report
1512,Toulouse,2024-09-22,20,@,Brest,fr Ligue 1,L 0-2,0,2,-2,57,0,0,1,1,20,11,5,1,0,3,0,Match Report
1513,Fiorentina,2024-12-29,20,@,Juventus,it Serie A,D 2-2,2,2,0,38,2,0,0,0,20,14,1,2,2,1,0,Match Report
1514,Fiorentina,2024-11-10,20,,Hellas Verona,it Serie A,W 3-1,3,1,+2,61,3,0,0,0,20,16,1,2,1,0,0,Match Report
1515,Crystal Palace,2024-11-09,20,,Fulham,eng Premier League,L 0-2,0,2,-2,36,0,0,0,0,20,13,2,2,2,1,0,Match Report
1516,Bournemouth,2025-04-05,20,@,West Ham,eng Premier League,D 2-2,2,2,0,44,2,0,0,0,20,14,2,1,2,1,0,Match Report
1517,Bournemouth,2025-02-01,20,,Liverpool,eng Premier League,L 0-2,0,2,-2,49,0,0,0,0,20,13,0,4,2,0,1,Match Report
1518,Bournemouth,2024-11-02,20,,Manchester City,eng Premier League,W 2-1,2,1,+1,36,2,0,0,0,20,16,0,2,2,0,0,Match Report
1519,Bournemouth,2024-10-26,20,@,Aston Villa,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,20,18,1,0,0,1,0,Match Report
1520,Wolfsburg,2025-02-02,20,@,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,39,0,0,0,0,20,16,1,0,0,2,1,Match Report
1521,Real Madrid,2024-12-07,20,@,Girona,es La Liga,W 3-0,3,0,+3,58,3,0,0,0,20,14,1,3,0,1,1,Match Report
1522,St. Pauli,2024-09-15,20,@,Augsburg,de Bundesliga,L 1-3,1,3,-2,56,1,0,0,0,20,13,3,1,1,2,0,Match Report
1523,St. Pauli,2024-08-25,20,,Heidenheim,de Bundesliga,L 0-2,0,2,-2,60,0,0,0,0,20,13,3,1,1,2,0,Match Report
1524,Marseille,2025-01-11,20,@,Rennes,fr Ligue 1,W 2-1,2,1,+1,64,2,0,0,0,20,10,2,1,4,2,1,Match Report
1525,Stuttgart,2025-03-16,20,,Leverkusen,de Bundesliga,L 3-4,3,4,-1,43,2,0,0,0,20,11,3,1,3,1,1,Match Report
1526,Stuttgart,2025-02-01,20,,Gladbach,de Bundesliga,L 1-2,1,2,-1,54,0,0,0,0,20,16,1,1,1,0,1,Match Report
1527,Stuttgart,2024-11-30,20,@,Werder Bremen,de Bundesliga,D 2-2,2,2,0,57,2,0,0,0,20,18,0,2,0,0,0,Match Report
1528,Auxerre,2025-02-14,20,@,Brest,fr Ligue 1,D 2-2,2,2,0,36,2,0,0,0,20,16,0,1,0,1,2,Match Report
1529,Auxerre,2025-01-24,20,,Saint-Étienne,fr Ligue 1,D 1-1,1,1,0,37,1,0,0,0,20,18,2,0,0,0,0,Match Report
1530,Auxerre,2024-09-22,20,@,Montpellier,fr Ligue 1,L 2-3,2,3,-1,46,2,0,0,0,20,17,1,0,1,0,1,Match Report
1531,Le Havre,2024-11-03,20,,Montpellier,fr Ligue 1,W 1-0,1,0,+1,48,0,1,1,0,20,16,2,0,0,2,0,Match Report
1532,Werder Bremen,2025-01-31,20,,Mainz 05,de Bundesliga,W 1-0,1,0,+1,38,1,0,1,1,20,12,2,1,3,1,1,Match Report
1533,Genoa,2025-04-04,20,,Udinese,it Serie A,W 1-0,1,0,+1,54,1,0,0,0,20,15,1,0,3,0,1,Match Report
1534,Genoa,2024-08-17,20,,Inter,it Serie A,D 2-2,2,2,0,32,2,0,1,1,20,10,2,2,2,4,0,Match Report
1535,Angers,2025-01-19,20,,Auxerre,fr Ligue 1,W 2-0,2,0,+2,48,1,0,0,0,20,12,2,1,1,2,2,Match Report
1536,Angers,2024-12-01,20,@,Le Havre,fr Ligue 1,W 1-0,1,0,+1,45,1,0,0,0,20,15,2,1,1,1,0,Match Report
1537,Lazio,2025-02-15,20,,Napoli,it Serie A,D 2-2,2,2,0,53,2,0,0,0,20,14,0,2,1,2,1,Match Report
1538,Lazio,2025-02-03,20,@,Cagliari,it Serie A,W 2-1,2,1,+1,60,2,0,0,0,20,12,4,1,3,0,0,Match Report
1539,Lazio,2024-12-28,20,,Atalanta,it Serie A,D 1-1,1,1,0,40,1,0,0,0,20,16,0,0,3,1,0,Match Report
1540,Getafe,2025-03-30,20,,Villarreal,es La Liga,L 1-2,1,2,-1,55,1,0,0,0,20,9,4,1,2,3,1,Match Report
1541,West Ham,2024-10-19,20,@,Tottenham,eng Premier League,L 1-4,1,4,-3,43,1,0,0,0,20,15,0,3,2,0,0,Match Report
1542,Leganés,2025-03-08,20,@,Celta Vigo,es La Liga,L 1-2,1,2,-1,44,1,0,0,0,20,14,2,2,1,0,1,Match Report
1543,Leganés,2025-01-11,20,@,Espanyol,es La Liga,D 1-1,1,1,0,47,1,0,0,0,20,12,2,1,1,2,2,Match Report
1544,Aston Villa,2024-12-21,20,,Manchester City,eng Premier League,W 2-1,2,1,+1,44,2,0,0,0,20,13,3,1,2,0,1,Match Report
1545,Aston Villa,2024-11-03,20,@,Tottenham,eng Premier League,L 1-4,1,4,-3,49,1,0,0,0,20,14,1,1,2,2,0,Match Report
1546,Wolves,2025-01-06,20,,Nott'ham Forest,eng Premier League,L 0-3,0,3,-3,60,0,0,0,0,20,15,0,1,3,0,1,Match Report
1547,Wolves,2024-11-23,20,@,Fulham,eng Premier League,W 4-1,4,1,+3,41,4,0,0,0,20,17,0,2,0,0,1,Match Report
1548,Girona,2024-12-01,20,@,Villarreal,es La Liga,D 2-2,2,2,0,64,2,0,0,0,20,16,1,0,3,0,0,Match Report
1549,Rayo Vallecano,2024-10-20,20,@,Mallorca,es La Liga,L 0-1,0,1,-1,49,0,0,0,0,20,18,1,0,1,0,0,Match Report
1550,Leicester City,2025-03-16,20,,Manchester Utd,eng Premier League,L 0-3,0,3,-3,53,0,0,0,0,20,14,0,4,1,1,0,Match Report
1551,Freiburg,2024-11-03,20,,Mainz 05,de Bundesliga,D 0-0,0,0,0,51,0,0,0,0,20,15,3,0,0,2,0,Match Report
